3846;1100015
3847;1100023
3848;1100031
3849;1100049
3850;1100056
3851;1100064
3852;1100072
3853;1100080
3854;1100098
3855;1100106
3856;1100114
3857;1100122
3858;1100130
3859;1100148
3860;1100155
3861;1100189
3862;1100205
3863;1100254
3864;1100262
3865;1100288
3866;1100296
3867;1100304
3868;1100320
3869;1100338
3870;1100346
3871;1100379
3872;1100403
3873;1100452
3874;1100502
3875;1100601
3876;1100700
3877;1100809
3878;1100908
3879;1100924
3880;1100940
3881;1101005
3882;1101104
3883;1101203
3884;1101302
3885;1101401
3886;1101435
3887;1101450
3888;1101468
3889;1101476
3890;1101484
3891;1101492
3892;1101500
3893;1101559
3894;1101609
3895;1101708
3896;1101757
3897;1101807
1;1200013
2;1200054
3;1200104
4;1200138
5;1200179
6;1200203
7;1200252
8;1200302
9;1200328
10;1200336
11;1200344
12;1200351
13;1200385
14;1200393
15;1200401
16;1200427
17;1200435
18;1200450
19;1200500
20;1200609
21;1200708
22;1200807
125;1300029
126;1300060
127;1300086
128;1300102
129;1300144
130;1300201
131;1300300
132;1300409
133;1300508
134;1300607
135;1300631
136;1300680
137;1300706
138;1300805
139;1300839
140;1300904
141;1301001
142;1301100
143;1301159
144;1301209
145;1301308
146;1301407
147;1301506
148;1301605
149;1301654
150;1301704
151;1301803
152;1301852
153;1301902
154;1301951
155;1302009
156;1302108
157;1302207
158;1302306
159;1302405
160;1302504
161;1302553
162;1302603
163;1302702
164;1302801
165;1302900
166;1303007
167;1303106
168;1303205
169;1303304
170;1303403
171;1303502
172;1303536
173;1303569
174;1303601
175;1303700
176;1303809
177;1303908
178;1303957
179;1304005
180;1304062
181;1304104
182;1304203
183;1304237
184;1304260
185;1304302
186;1304401
3898;1400027
3899;1400050
3900;1400100
3901;1400159
3902;1400175
3903;1400209
3904;1400233
3905;1400282
3906;1400308
3907;1400407
3908;1400456
3909;1400472
3910;1400506
3911;1400605
3912;1400704
2415;1500107
2416;1500131
2417;1500206
2418;1500305
2419;1500347
2420;1500404
